,0
0,"The name chosen for this comprehensive medical handbook series is Vademecum , a Latin word that roughly means “ to carry along ” ."
1,We hope you will find them a valuable resource .
2,"In view of the ongoing research , equipment development , changes in governmental regulations and the rapid accumulation of information relating to the biomedical sciences , the reader is urged to carefully review and evaluate the information provided herein ."
3,"European doctors , soldiers and missionaries were the first to study these diseases in the 17th and 18th centuries ."
4,Tropical dermatoses represent a public health problem in 127 countries with a population of 3 billion people who do not have access to health care .
5,"Since some tropical diseases are more prevalent in the rest of Latin America or in other parts of the world , we have invited international authorities to contribute to this handbook ."
6,We hope it will be a valuable resource .
7,Dermatophytes can infect humans when exposed to a contagious source .
8,"Dermatophytes in the hair can be transmitted from contaminated combs , spray , or oils ."
9,"Also , infection can involve the dorsal surface of the ungual lamina ( leukonychia tricophytica ) ."
10,"This type can be localized to any area in the skin , but it is common on the scalp ."
11,T. verrucosum ( T. ochraceum ) can cause a wide ulceration .
12,"With proper treatment , it can be cured in 2-5 months , but without therapy , alopecia may be permanent ."
13,Tinea cruris or Hebra ’ s eczema can involve the inguino-crural and perineal areas .
14,"Tinea manuum can affect one or both palms , and it is usually caused by T. rubrum ( 90 % ) ."
15,"Culture can be done with a sterile swab , a piece of floor carpet or with a tooth 8 Tropical Dermatology 1 Fig ."
16,"In children who are able to ingest capsules , itraconazole is administrated , 5 mg/kg/day ( Int J Dermatol 1994 ; 33:743-47 ) ; it is being tested as pulse-therapy for one week per month ."
17,It is considered that an ideal antimycotic for children should be a liquid with a secure cap and a pleasant flavor ; it must be effective and have few drugs interactions .
18,"Before each new application , the nail should be cleaned with acetone ."
19,Itraconazole 400mg or terbinafin 500 mg/day can be administered as pulse-therapy one week per month until cure .
20,"For inflammatory dermatophytosis , trichophytic granuloma , or tinea in immunocompromised patients , ketoconazole can be used orally 200 mg/day in adults , and 5 mg/kg/day in children ."
21,It can affect any age and both sexes .
22,"In children it can affect the face , forehead , and preauricular areas ( Fig ."
23,It can be seen just with the use of occlusive clothing .
24,"Infections may be superficial or deep , involving of the skin , mucosa , or the internal organs ."
25,Systemic candidiasis can involve any organ but is found mainly in the esophagus and heart .
26,"Above all , it is important to eliminate factors favorable to Candida ."
27,Secondary hepatic and antiandrogenic effects with the prolonged administration must be kept in mind .
28,Hair can be cut from the lesion .
29,"It predominates in the tropics and is more frequent in those who walk barefoot , have their feet exposed to water , or suffer from hyperhidrosis ."
30,D. congolensis secretes keratinases that can digest the keratin ( Med Microbiol Immunol Berl 1991 ; 180:45-51 ) .
31,"It predominates in weight-bearing areas , and it can be unilateral or bilateral ( 97 % ) ."
32,"C. tenuis , or other Corynebacteria penetrate an erosion of the hair and form a colony that develops distally along the shaft and produces a mucoid lipid material ."
33,"A sheath , a soft , white and irregular sleeve that does not destroy the follicle , forms around the hair ."
34,"Depending on the coloration , the following varieties can occur : flava , rubra and nigra ."
35,Lesions can be Fig .
36,Culture confirms the species and must be anaerobic in Brewer ’ s agar or thioglycolate liquid .
37,"It predominates on the foot , but it can also be observed in the thigh , knee and lower leg , ( Fig ."
38,Mycetomas affecting the vertebrae can involve the spinal cord causing paraplegia .
39,Mycetomas of the thorax can invade pleura and lung .
40,Lesions on the inguinal region may represent a “ metastatic lesion ” from a mycetoma of the foot .
41,"With hard granules , a true tuberculoid granuloma may be seen ."
42,In vitro studies indicate that cefataxime and ceftriaxone may be effective .
43,"Prophylaxis must be aimed at improving general health and hygiene , and the use of closed shoes in rural areas ."
44,"It is observed frequently in peasants , gardeners , florists , and carpenters , and it can be passed on accidently in laboratories ."
45,"In primary pulmonary sporotrichosis , the fungus penetrates the respiratory tract and causes a self-limited , asymptomatic pneumonia that induces a specific hypersensitivity , or it may cause a progressive pneumonia that can be a source of hematogenous dissemination ."
46,"It can affect bones , joints , lungs , the central nervous system or other organs ."
47,The differential diagnosis must include atypical mycobacterial infection and tularemia .
48,They can cause intense fibrosis that leads to lymphostasis and elephantiasis .
49,Traumatic injuries from plant fragments or insect bites may permit penetration of the fungus .
50,One must distinguish them from anergic leishmaniasis and leprosy .
51,"Ketoconazole , itraconazole and amphotericin B do not yield satisfactory results ."
52,"This infection can involve the cheeks , forehead , lips , and eye lids causing airway obstruction and deformity ."
53,Immunodiffusion of filtrates of cultures from C. coronatus and B. ranarum produces bands of specific antigens that can distinguish these two species ( J Clin Microbiol 1990 ; 28:1887-90 ) .
